emergency_type,emergency_severity,population_affected,emergency_duration,resource_type,daily_consumption,days_since_emergency,previous_demand,current_inventory,future_requirement
EPIDEMIC,CRITICAL,10506,41,BLANKETS,329.25,2,747.9,11767,13462.4
FLOOD,HIGH,6769,23,HYGIENE_KITS,119.93,15,1807.3,526,1061.7
EPIDEMIC,HIGH,9286,42,CLOTHING,155.28,26,4011.2,1421,2056.1
DROUGHT,HIGH,748,28,BABY_SUPPLIES,6.2,22,157.5,29,36.3
FIRE,MEDIUM,17407,24,CLOTHING,244.04,11,2181.7,3202,3208.8
EPIDEMIC,MEDIUM,14378,9,HYGIENE_KITS,152.06,5,568.3,255,592.8
DROUGHT,HIGH,16562,27,CLOTHING,253.29,18,4594.7,1884,2310.0
FLOOD,LOW,11478,14,CLOTHING,119.39,10,1098.2,257,581.3
FLOOD,MEDIUM,1931,38,FOOD,1425.1,5,5446.9,25458,59934.1
FLOOD,MEDIUM,3139,31,CLOTHING,33.8,21,809.2,330,396.1
EPIDEMIC,HIGH,12307,23,BLANKETS,358.04,2,924.0,5931,8274.6
FLOOD,CRITICAL,2961,17,MEDICINE,58.44,8,544.7,269,552.1
DROUGHT,HIGH,9011,37,WATER,36768.34,19,603505.2,642289,591816.6
LANDSLIDE,MEDIUM,8605,9,FOOD,5919.4,6,40757.4,17023,18220.9
FIRE,CRITICAL,6640,43,CLOTHING,136.15,23,3849.3,1315,3145.1
CYCLONE,MEDIUM,4002,11,FOOD,3285.71,3,12285.9,18399,31335.2
DROUGHT,MEDIUM,8411,14,HYGIENE_KITS,96.28,7,593.7,551,611.8
FLOOD,LOW,14847,8,HYGIENE_KITS,155.76,5,606.5,358,477.5
LANDSLIDE,CRITICAL,17408,20,HYGIENE_KITS,277.98,6,1555.3,1725,4221.7
FIRE,HIGH,3252,32,BLANKETS,97.24,0,97.3,2761,3369.0
FIRE,CRITICAL,12367,22,FIRST_AID_KITS,92.18,0,113.4,1347,2029.4
FIRE,CRITICAL,706,25,CLOTHING,10.52,20,162.0,42,53.8
FIRE,MEDIUM,19429,9,MEDICINE,217.51,1,161.4,1940,1876.7
CYCLONE,HIGH,919,16,FIRST_AID_KITS,6.56,4,28.3,48,99.1
CYCLONE,CRITICAL,2450,38,WATER,12094.76,5,48261.6,228359,451141.1
CYCLONE,MEDIUM,7666,42,BLANKETS,177.24,9,1560.4,3751,8294.8
EPIDEMIC,MEDIUM,10915,42,CLOTHING,134.96,2,288.3,3182,4558.5
CYCLONE,HIGH,10455,23,CLOTHING,166.92,15,3162.7,1691,1713.9
FLOOD,MEDIUM,16873,24,FIRST_AID_KITS,91.21,12,1280.4,873,1235.0
EARTHQUAKE,LOW,180,24,HYGIENE_KITS,1.59,12,18.1,22,28.6
EPIDEMIC,HIGH,16910,23,CLOTHING,291.0,18,3837.2,1264,1462.0
FIRE,LOW,209,38,MEDICINE,2.28,3,6.6,52,81.5
FLOOD,MEDIUM,1181,20,BABY_SUPPLIES,6.23,5,25.7,125,117.9
LANDSLIDE,MEDIUM,13842,23,FOOD,10378.89,9,84647.0,115927,146637.7
FLOOD,MEDIUM,2745,33,FIRST_AID_KITS,12.14,21,278.1,107,150.4
FIRE,MEDIUM,2298,27,BABY_SUPPLIES,11.94,0,13.3,341,328.1
CYCLONE,LOW,8982,7,MEDICINE,95.84,4,293.0,171,372.0
DROUGHT,MEDIUM,2662,38,CLOTHING,35.16,9,341.1,910,1005.8
FLOOD,CRITICAL,10012,16,BLANKETS,395.25,2,990.6,4877,6737.0
FLOOD,CRITICAL,9008,16,WATER,49172.63,7,350714.9,340821,526841.4
LANDSLIDE,CRITICAL,2568,26,BLANKETS,111.43,17,2459.1,814,1085.7
FIRE,MEDIUM,1255,12,CLOTHING,15.96,1,17.6,144,191.8
FLOOD,MEDIUM,5365,11,WATER,22598.92,8,232885.8,66402,68856.9
FIRE,MEDIUM,6003,43,MEDICINE,63.97,20,1039.5,1547,1455.2
LANDSLIDE,MEDIUM,19535,10,BABY_SUPPLIES,134.85,8,1192.6,335,308.5
EARTHQUAKE,CRITICAL,592,32,FIRST_AID_KITS,4.98,6,32.7,143,172.3
FLOOD,HIGH,14150,27,HYGIENE_KITS,211.22,11,1801.1,2548,3740.6
CYCLONE,HIGH,16736,12,FIRST_AID_KITS,98.15,8,811.4,296,478.5
CYCLONE,MEDIUM,15331,5,HYGIENE_KITS,226.5,3,529.6,273,554.3
FLOOD,LOW,14800,42,WATER,44488.77,33,1901429.0,454991,473819.1
EARTHQUAKE,LOW,18251,21,BABY_SUPPLIES,105.6,5,472.2,2485,2270.3
DROUGHT,MEDIUM,982,43,MEDICINE,11.66,6,76.0,362,414.6
FLOOD,HIGH,10707,29,BABY_SUPPLIES,72.31,24,1533.9,280,440.9
CYCLONE,MEDIUM,18904,42,MEDICINE,255.03,22,5073.3,4001,6156.3
FLOOD,MEDIUM,19665,18,WATER,77594.06,2,135484.2,1482093,1376488.6
FLOOD,CRITICAL,2092,37,BABY_SUPPLIES,20.39,28,442.7,173,191.2
DROUGHT,LOW,2748,16,BLANKETS,64.34,12,678.8,175,277.0
CYCLONE,MEDIUM,10156,8,CLOTHING,142.56,4,590.0,302,646.7
EARTHQUAKE,HIGH,16668,41,HYGIENE_KITS,298.16,16,3822.0,10648,10396.6
FLOOD,MEDIUM,6273,26,BABY_SUPPLIES,35.83,20,814.9,214,241.3
FLOOD,MEDIUM,15225,45,FIRST_AID_KITS,85.36,7,481.3,4306,4124.9
FIRE,HIGH,6452,30,FIRST_AID_KITS,36.1,25,1063.9,181,185.1
CYCLONE,LOW,19827,28,CLOTHING,228.83,8,2030.1,4046,5804.2
EPIDEMIC,CRITICAL,6365,32,CLOTHING,99.39,14,1614.3,1028,1751.8
FLOOD,CRITICAL,8018,39,HYGIENE_KITS,139.44,1,171.3,4446,7408.7
DROUGHT,HIGH,2016,41,BLANKETS,68.15,8,419.3,2300,2282.2
EPIDEMIC,HIGH,14709,38,BLANKETS,365.99,20,5464.5,6183,6459.4
EPIDEMIC,MEDIUM,7935,17,HYGIENE_KITS,89.26,2,193.0,1303,1339.4
DROUGHT,LOW,519,9,BABY_SUPPLIES,2.96,2,5.7,12,21.0
LANDSLIDE,HIGH,7051,33,CLOTHING,125.17,17,1738.7,1136,2448.4
EARTHQUAKE,CRITICAL,11551,9,HYGIENE_KITS,248.81,4,890.6,1674,1544.6
DROUGHT,LOW,14473,17,FIRST_AID_KITS,54.34,4,245.3,444,716.2
FLOOD,MEDIUM,11752,20,FIRST_AID_KITS,50.75,3,136.9,607,1013.0
DROUGHT,CRITICAL,811,10,MEDICINE,17.74,7,136.1,55,52.8
EARTHQUAKE,MEDIUM,17058,40,BABY_SUPPLIES,114.03,9,1030.3,3270,4915.5
FLOOD,CRITICAL,873,25,CLOTHING,16.27,2,37.3,384,462.2
CYCLONE,MEDIUM,2708,6,HYGIENE_KITS,28.79,1,26.3,118,148.9
DROUGHT,HIGH,5966,22,BABY_SUPPLIES,40.15,6,191.6,569,632.0
DROUGHT,MEDIUM,8459,32,CLOTHING,89.14,22,1961.1,852,902.5
EARTHQUAKE,MEDIUM,2100,29,HYGIENE_KITS,22.01,3,63.6,335,825.3
LANDSLIDE,LOW,12269,40,HYGIENE_KITS,143.88,23,2977.3,1514,2565.3
EPIDEMIC,LOW,10600,5,WATER,28853.31,3,97436.0,27466,46317.4
FLOOD,LOW,1041,6,HYGIENE_KITS,11.43,4,56.0,20,25.4
FLOOD,LOW,14120,28,BABY_SUPPLIES,71.42,15,954.5,872,1185.6
LANDSLIDE,MEDIUM,16015,43,CLOTHING,231.1,24,5306.4,4309,5266.1
CYCLONE,MEDIUM,10460,27,FIRST_AID_KITS,52.95,7,435.9,1022,1269.4
EPIDEMIC,LOW,5178,22,FOOD,3472.21,10,39542.3,40113,37566.8
CYCLONE,MEDIUM,9127,39,CLOTHING,108.43,8,805.7,2784,4087.5
FLOOD,CRITICAL,7136,27,BABY_SUPPLIES,60.45,4,185.3,1085,1543.3
EARTHQUAKE,HIGH,3524,23,CLOTHING,46.4,13,566.0,734,677.8
LANDSLIDE,HIGH,19737,21,FIRST_AID_KITS,114.94,14,1975.8,1000,975.9
FIRE,HIGH,4162,30,FIRST_AID_KITS,20.79,11,285.8,382,412.9
FLOOD,MEDIUM,9968,13,CLOTHING,132.92,5,855.2,792,1186.7
DROUGHT,MEDIUM,11172,36,HYGIENE_KITS,155.69,13,2076.0,2813,3333.2
EPIDEMIC,LOW,4328,37,CLOTHING,50.76,17,838.5,676,922.5
EARTHQUAKE,LOW,16877,37,WATER,56607.35,2,92001.6,1073720,2405183.5
FLOOD,HIGH,11931,36,BLANKETS,302.03,14,5051.7,6744,8046.9
LANDSLIDE,MEDIUM,14631,40,FOOD,9385.5,22,220756.7,108469,157578.3
LANDSLIDE,LOW,6397,41,HYGIENE_KITS,75.4,11,658.2,1780,2436.8
EPIDEMIC,MEDIUM,1973,19,BABY_SUPPLIES,14.25,6,60.8,93,188.6
LANDSLIDE,LOW,7461,38,CLOTHING,80.55,17,1517.6,1776,1787.1
DROUGHT,MEDIUM,8110,28,FOOD,6957.14,13,66228.1,112977,104231.3
CYCLONE,CRITICAL,14208,20,CLOTHING,259.51,9,1860.0,1483,3597.9
EARTHQUAKE,HIGH,7427,39,BLANKETS,185.22,20,2681.7,3498,4948.6
DROUGHT,MEDIUM,9410,29,BLANKETS,278.85,22,4571.6,1869,1963.7
FIRE,LOW,13425,9,FOOD,8052.96,5,31420.0,20705,31136.9
FIRE,LOW,18459,16,CLOTHING,223.74,7,1950.5,1741,1971.2
FIRE,HIGH,11812,35,CLOTHING,195.45,1,151.1,4148,6484.7
EARTHQUAKE,MEDIUM,6015,36,BLANKETS,139.11,23,3615.0,2412,2670.0
FLOOD,MEDIUM,7889,20,CLOTHING,88.05,15,1149.4,426,518.4
FLOOD,MEDIUM,15807,18,BLANKETS,446.85,1,509.4,4371,8576.3
FLOOD,MEDIUM,2158,26,WATER,6812.19,2,14564.4,164321,150413.2
LANDSLIDE,HIGH,1915,25,FOOD,1808.86,16,31433.0,17536,20907.0
DROUGHT,CRITICAL,11503,7,WATER,73745.76,1,85651.1,352440,445475.6
LANDSLIDE,HIGH,12635,30,MEDICINE,194.49,21,2989.7,1903,1879.3
FLOOD,MEDIUM,6576,43,MEDICINE,76.46,14,1290.2,1609,2881.1
FLOOD,MEDIUM,5203,40,FIRST_AID_KITS,27.39,14,428.3,738,784.7
LANDSLIDE,MEDIUM,11965,39,BLANKETS,310.94,10,3244.6,7253,9439.7
CYCLONE,CRITICAL,7472,28,WATER,47830.29,15,866164.5,634545,787783.1
CYCLONE,LOW,9047,30,MEDICINE,108.27,8,888.5,1270,2512.3
LANDSLIDE,MEDIUM,8356,33,BABY_SUPPLIES,56.95,3,169.1,1641,1613.5
CYCLONE,MEDIUM,10501,45,HYGIENE_KITS,148.02,12,2141.5,5857,6106.6
EPIDEMIC,MEDIUM,3392,39,FOOD,2912.61,27,101744.7,35348,33599.1
FIRE,MEDIUM,11233,29,CLOTHING,166.01,24,4328.7,414,844.4
CYCLONE,CRITICAL,17212,23,MEDICINE,278.8,4,800.5,2793,6933.4
CYCLONE,HIGH,13309,43,HYGIENE_KITS,177.96,34,6987.3,1305,1824.9
FLOOD,HIGH,15170,31,FOOD,13032.72,23,224769.4,116511,124103.1
EPIDEMIC,HIGH,13236,38,CLOTHING,179.86,5,870.6,3784,5951.1
LANDSLIDE,MEDIUM,13798,43,BLANKETS,409.21,34,14002.1,4442,4277.2
EARTHQUAKE,LOW,10204,39,MEDICINE,114.52,4,365.4,4097,4949.7
FLOOD,CRITICAL,4298,37,MEDICINE,79.9,1,61.7,1842,2803.1
FLOOD,HIGH,7058,45,WATER,36725.25,27,1058153.3,436417,759147.6
LANDSLIDE,MEDIUM,3735,35,FOOD,3339.58,6,19930.3,63208,115738.2
CYCLONE,MEDIUM,6214,41,BABY_SUPPLIES,45.85,16,881.0,1471,1419.1
DROUGHT,CRITICAL,13836,26,MEDICINE,265.38,15,4559.9,1711,3279.1
FIRE,MEDIUM,3841,35,BABY_SUPPLIES,20.99,2,44.4,343,751.3
FLOOD,MEDIUM,5324,25,HYGIENE_KITS,58.43,2,112.4,696,1674.8
CYCLONE,HIGH,15438,31,FIRST_AID_KITS,100.05,18,1581.5,1517,1508.5
CYCLONE,HIGH,9744,37,BLANKETS,247.98,6,1866.5,4205,9642.1
FLOOD,LOW,2924,22,CLOTHING,31.41,14,407.9,301,318.8
LANDSLIDE,CRITICAL,246,21,FOOD,310.95,2,611.1,6718,6164.7
EPIDEMIC,MEDIUM,13545,38,FOOD,10749.67,6,67434.4,357888,396059.3
FLOOD,MEDIUM,6227,39,FIRST_AID_KITS,35.03,12,369.0,495,1160.4
FLOOD,HIGH,7075,37,HYGIENE_KITS,107.36,26,2273.2,843,1571.0
EPIDEMIC,MEDIUM,5695,20,BABY_SUPPLIES,35.99,17,793.5,41,94.0
FIRE,CRITICAL,870,43,FOOD,825.25,9,7538.3,23101,30634.0
EARTHQUAKE,HIGH,14760,27,WATER,74943.28,7,454173.8,1373429,2122875.0
FLOOD,MEDIUM,9499,37,FOOD,6498.98,11,60181.0,197645,189740.2
DROUGHT,MEDIUM,10565,17,FIRST_AID_KITS,51.93,11,624.6,292,331.0
FLOOD,MEDIUM,18677,12,BABY_SUPPLIES,100.25,8,578.2,480,469.3
DROUGHT,CRITICAL,6594,24,BLANKETS,229.1,3,700.4,2641,4881.6
FLOOD,CRITICAL,4651,20,FIRST_AID_KITS,33.72,9,258.0,266,381.0
EARTHQUAKE,MEDIUM,1060,21,WATER,4711.82,12,64147.6,43246,50990.6
LANDSLIDE,CRITICAL,17983,28,BABY_SUPPLIES,178.91,11,2293.2,1939,3373.7
FIRE,CRITICAL,2007,35,MEDICINE,39.78,1,29.5,1213,1207.2
EPIDEMIC,HIGH,8442,5,HYGIENE_KITS,113.14,1,94.5,308,407.0
EPIDEMIC,MEDIUM,18431,10,BLANKETS,466.39,4,1970.3,1691,2322.0
EARTHQUAKE,HIGH,16157,15,FIRST_AID_KITS,111.49,6,650.1,1233,1361.0
LANDSLIDE,CRITICAL,19565,29,WATER,118302.87,17,1555038.3,921789,1533126.9
CYCLONE,MEDIUM,7006,39,CLOTHING,101.9,1,119.8,4461,4890.2
EPIDEMIC,CRITICAL,7201,36,HYGIENE_KITS,148.34,28,3815.1,1068,1081.1
LANDSLIDE,HIGH,19400,42,BLANKETS,567.32,11,7858.5,10910,17965.1
LANDSLIDE,MEDIUM,16739,38,WATER,68799.81,9,657340.1,1549393,1911723.7
LANDSLIDE,CRITICAL,10679,30,WATER,57007.82,11,658715.0,1074981,1110963.5
FLOOD,MEDIUM,2116,9,FIRST_AID_KITS,10.41,0,8.8,130,126.4
DROUGHT,CRITICAL,16535,32,HYGIENE_KITS,308.27,13,4340.8,4659,5852.4
FLOOD,MEDIUM,9657,17,CLOTHING,131.76,3,500.6,1833,2154.0
FLOOD,HIGH,3181,18,BLANKETS,84.31,9,537.5,1014,925.6
FLOOD,CRITICAL,1950,29,WATER,9721.21,14,150908.9,123352,148893.7
EARTHQUAKE,CRITICAL,9333,30,CLOTHING,161.43,8,1111.2,4632,5148.2
DROUGHT,HIGH,6659,42,CLOTHING,90.56,18,1992.1,1759,2156.2
FLOOD,CRITICAL,16707,20,BABY_SUPPLIES,165.73,5,894.1,1884,2826.6
CYCLONE,CRITICAL,8134,12,WATER,43008.54,10,412904.3,97709,113437.9
EPIDEMIC,HIGH,19118,43,FOOD,15302.08,25,348854.0,118418,242774.8
FLOOD,MEDIUM,17791,33,BLANKETS,518.37,27,13513.4,4217,4126.2
FLOOD,MEDIUM,2403,17,HYGIENE_KITS,26.2,12,243.5,122,162.5
EPIDEMIC,HIGH,8670,31,MEDICINE,118.0,21,2084.7,550,913.0
FIRE,CRITICAL,9576,9,CLOTHING,198.24,1,174.5,1506,1659.2
EARTHQUAKE,HIGH,7130,27,MEDICINE,112.26,17,2193.3,668,1534.5
CYCLONE,HIGH,8611,41,FIRST_AID_KITS,54.99,10,661.0,922,2174.3
FLOOD,CRITICAL,10227,7,WATER,46075.44,2,73005.7,252663,255754.9
EARTHQUAKE,HIGH,19203,24,WATER,96128.18,20,1658851.1,338059,506183.1
EPIDEMIC,CRITICAL,13114,41,CLOTHING,202.87,21,4715.0,1695,3362.0
FLOOD,MEDIUM,13176,27,BABY_SUPPLIES,92.82,4,358.9,1822,2454.9
DROUGHT,HIGH,5961,19,BLANKETS,193.89,10,1946.5,1516,1881.5
CYCLONE,LOW,19446,43,WATER,52559.88,32,1403324.6,329498,708076.1
EPIDEMIC,CRITICAL,13928,12,FOOD,12903.24,1,9085.5,71231,128394.4
FLOOD,LOW,13752,43,FOOD,10115.05,1,8143.7,342411,476348.1
LANDSLIDE,HIGH,15048,7,FOOD,13489.36,4,49454.2,29602,35353.0
CYCLONE,MEDIUM,15394,28,WATER,67942.57,16,1093596.4,764360,1136406.3
FIRE,MEDIUM,18543,28,FIRST_AID_KITS,76.85,4,325.0,1094,1951.0
EPIDEMIC,LOW,19067,35,BABY_SUPPLIES,81.19,7,600.9,1037,2103.2
EARTHQUAKE,CRITICAL,7280,35,MEDICINE,154.93,24,4535.2,1547,2076.0
FIRE,CRITICAL,423,36,CLOTHING,8.53,18,149.7,78,152.6
FLOOD,MEDIUM,9631,9,HYGIENE_KITS,123.71,3,269.1,406,918.5
DROUGHT,HIGH,6133,20,FIRST_AID_KITS,34.19,0,38.8,440,630.1
FIRE,MEDIUM,9512,20,CLOTHING,131.31,14,1771.7,313,779.7
CYCLONE,LOW,5380,20,WATER,19924.9,11,268664.9,188174,225085.5
LANDSLIDE,CRITICAL,5524,40,FOOD,5778.17,10,58985.3,76936,185635.6
FIRE,CRITICAL,10511,43,FIRST_AID_KITS,86.9,34,2893.6,597,786.0
DROUGHT,LOW,6816,11,WATER,19401.62,7,140270.3,84697,83940.1
FLOOD,LOW,5500,34,FOOD,3584.51,9,25958.0,71674,113962.0
EPIDEMIC,MEDIUM,2805,15,BABY_SUPPLIES,16.42,12,207.6,34,44.6
CYCLONE,MEDIUM,9428,34,BABY_SUPPLIES,56.44,19,847.0,786,1076.4
EARTHQUAKE,CRITICAL,8772,22,WATER,47685.59,15,817062.3,230926,425203.6
CYCLONE,MEDIUM,1757,35,BLANKETS,44.33,16,651.3,522,1148.3
EPIDEMIC,MEDIUM,3681,9,FIRST_AID_KITS,18.87,1,20.3,64,149.3
CYCLONE,HIGH,4318,13,HYGIENE_KITS,75.39,5,306.1,802,730.4
EPIDEMIC,CRITICAL,3085,44,FIRST_AID_KITS,26.79,21,396.3,244,584.8
CYCLONE,MEDIUM,18958,38,BLANKETS,540.86,9,3438.8,16115,18585.1
DROUGHT,LOW,11629,19,CLOTHING,114.89,10,1106.4,907,897.4
FLOOD,MEDIUM,430,14,MEDICINE,5.67,4,19.5,71,67.2
CYCLONE,CRITICAL,12346,7,FIRST_AID_KITS,80.95,2,136.3,235,559.4
FIRE,CRITICAL,1576,20,WATER,7119.64,1,7240.6,137760,146415.6
FLOOD,HIGH,6171,13,FIRST_AID_KITS,31.52,7,155.2,173,206.7
CYCLONE,MEDIUM,15008,26,WATER,49836.38,3,161649.4,920256,1591634.8
LANDSLIDE,HIGH,15281,33,FIRST_AID_KITS,79.55,4,342.2,2402,2581.1
FLOOD,HIGH,13996,17,HYGIENE_KITS,222.47,12,2536.2,808,1023.4
EPIDEMIC,MEDIUM,14195,36,HYGIENE_KITS,199.95,4,1037.3,6140,6143.3
FLOOD,CRITICAL,11356,31,MEDICINE,213.62,15,2649.3,4031,4357.7
LANDSLIDE,HIGH,10412,26,WATER,54742.09,15,1034498.3,563172,673566.5
EARTHQUAKE,HIGH,17272,13,WATER,81591.43,7,524657.3,361116,710429.6
CYCLONE,MEDIUM,15472,22,FIRST_AID_KITS,72.21,19,1683.5,295,273.2
FIRE,CRITICAL,19746,33,MEDICINE,316.62,13,2997.0,4617,6970.3
CYCLONE,MEDIUM,8654,16,BABY_SUPPLIES,59.86,13,779.7,200,188.5
LANDSLIDE,HIGH,3669,14,FOOD,3367.01,4,16193.0,35683,35956.9
FLOOD,LOW,11327,45,FOOD,6017.06,4,20808.0,200060,285165.8
EARTHQUAKE,MEDIUM,3126,19,WATER,9873.22,9,66891.1,123580,126902.0
FLOOD,MEDIUM,18251,37,FOOD,13538.82,5,47452.1,440729,495767.4
CYCLONE,MEDIUM,17228,35,HYGIENE_KITS,181.6,14,2150.3,3280,4664.7
CYCLONE,MEDIUM,9972,19,HYGIENE_KITS,149.37,14,1861.6,697,917.3
CYCLONE,HIGH,7486,26,HYGIENE_KITS,94.09,10,784.7,2054,2004.1
FLOOD,CRITICAL,9674,27,BLANKETS,390.51,3,1182.6,8587,11088.6
FLOOD,CRITICAL,9070,15,BLANKETS,304.21,3,1104.0,4468,4682.2
EARTHQUAKE,CRITICAL,19428,26,WATER,107869.19,18,1501756.5,1261289,1325369.0
EPIDEMIC,MEDIUM,472,34,MEDICINE,6.36,29,180.1,12,27.7
FLOOD,MEDIUM,19996,41,WATER,66756.14,28,1616439.1,1073593,1075709.9
EPIDEMIC,LOW,2217,19,FOOD,1514.44,5,7810.2,14000,18546.6
LANDSLIDE,HIGH,1176,26,FOOD,1064.13,16,14423.8,12261,11460.6
DROUGHT,CRITICAL,16235,7,MEDICINE,264.58,2,580.1,1239,1187.7
EPIDEMIC,MEDIUM,10685,7,FIRST_AID_KITS,54.09,5,300.2,66,102.2
FLOOD,HIGH,18751,32,HYGIENE_KITS,257.31,18,4527.7,2842,4447.8
CYCLONE,MEDIUM,17462,31,BLANKETS,364.93,14,4242.5,4464,6932.7
DROUGHT,MEDIUM,18748,38,BABY_SUPPLIES,123.94,4,411.8,3163,4178.9
CYCLONE,CRITICAL,11420,33,WATER,71508.01,25,1411759.5,469246,652296.7
FLOOD,CRITICAL,12717,27,BABY_SUPPLIES,138.02,1,146.4,2883,4936.0
FLOOD,HIGH,3915,20,BLANKETS,105.54,3,387.9,2343,2319.9
EPIDEMIC,HIGH,19723,35,FOOD,15613.55,17,252958.6,150338,281215.7
FLOOD,HIGH,13755,10,MEDICINE,235.12,6,1689.0,654,1172.0
DROUGHT,LOW,9631,34,BLANKETS,205.89,8,1949.1,5205,5172.0
EARTHQUAKE,LOW,6879,42,MEDICINE,69.23,28,1501.6,957,1324.3
CYCLONE,CRITICAL,828,25,WATER,4617.11,16,68270.8,31311,55749.5
EPIDEMIC,CRITICAL,4916,34,FOOD,4779.95,15,83487.6,54319,77649.6
EARTHQUAKE,MEDIUM,5952,25,BLANKETS,172.78,20,4314.0,554,970.4
EARTHQUAKE,MEDIUM,6256,45,FOOD,4069.95,36,119234.7,47805,52388.0
EARTHQUAKE,MEDIUM,5936,30,CLOTHING,79.81,6,465.9,1221,2765.3
FIRE,HIGH,15437,18,BLANKETS,452.16,6,2678.0,4923,5567.3
FLOOD,MEDIUM,9896,37,CLOTHING,127.78,5,611.3,2773,3910.6
FIRE,HIGH,6684,18,WATER,25701.01,2,38155.4,296356,410383.6
DROUGHT,MEDIUM,16517,21,WATER,59682.55,6,443120.9,800085,1042365.7
FIRE,HIGH,17747,42,WATER,73604.73,35,2967797.2,468418,582203.1
CYCLONE,HIGH,1040,14,HYGIENE_KITS,14.33,0,12.0,145,192.6
LANDSLIDE,MEDIUM,13342,15,FIRST_AID_KITS,56.31,1,52.7,376,878.0
CYCLONE,CRITICAL,17132,26,WATER,107981.78,18,1654746.1,1168688,1141181.7
EARTHQUAKE,HIGH,8358,20,HYGIENE_KITS,115.14,6,889.8,1761,2203.2
FLOOD,CRITICAL,12189,25,FIRST_AID_KITS,74.9,9,843.7,661,1395.2
EPIDEMIC,MEDIUM,8645,17,FIRST_AID_KITS,44.71,13,518.1,96,168.6
FIRE,LOW,18986,33,HYGIENE_KITS,222.61,23,5620.5,1321,2311.9
LANDSLIDE,MEDIUM,15371,20,MEDICINE,221.4,15,4056.0,734,1127.3
EARTHQUAKE,CRITICAL,13161,25,FIRST_AID_KITS,99.91,10,1164.1,1868,2007.9
DROUGHT,HIGH,7946,35,WATER,37123.71,6,200905.5,950414,934929.8
EARTHQUAKE,MEDIUM,5426,44,CLOTHING,80.35,2,161.3,2471,4661.4
CYCLONE,HIGH,5426,32,BABY_SUPPLIES,40.23,18,876.5,374,703.0
CYCLONE,MEDIUM,1522,39,BLANKETS,32.94,19,457.5,541,958.9
LANDSLIDE,MEDIUM,9048,40,HYGIENE_KITS,114.47,6,684.1,3946,4470.9
FLOOD,CRITICAL,4865,9,BLANKETS,211.4,1,200.6,1262,1893.2
EPIDEMIC,LOW,2610,38,FIRST_AID_KITS,12.12,7,68.6,187,327.0
FIRE,MEDIUM,16909,25,CLOTHING,206.45,6,1517.1,3268,3393.5
FLOOD,MEDIUM,2022,44,BABY_SUPPLIES,12.85,36,561.0,65,127.7
EARTHQUAKE,HIGH,7674,22,BLANKETS,252.91,14,3406.6,1527,2816.6
FLOOD,HIGH,19710,27,CLOTHING,340.21,4,1584.1,6418,9020.4
EARTHQUAKE,MEDIUM,17075,21,FIRST_AID_KITS,77.08,11,1092.7,802,1064.0
CYCLONE,LOW,6978,30,WATER,20409.71,6,158210.4,488486,692444.1
DROUGHT,MEDIUM,6985,42,FOOD,5036.93,13,50667.3,126472,137065.6
LANDSLIDE,MEDIUM,5568,36,MEDICINE,76.37,14,1337.6,1501,1680.8
EARTHQUAKE,HIGH,8937,14,BLANKETS,277.14,9,1769.8,861,1807.5
DROUGHT,MEDIUM,15941,37,FIRST_AID_KITS,89.46,22,2100.6,1136,1226.1
LANDSLIDE,HIGH,8559,14,FIRST_AID_KITS,57.23,8,471.8,306,325.4
FIRE,CRITICAL,8087,39,WATER,50555.25,30,1103579.1,378389,428219.5
FLOOD,LOW,5603,18,CLOTHING,64.04,15,699.2,131,211.3
CYCLONE,MEDIUM,1713,15,WATER,5618.73,5,30276.8,28024,67270.5
FLOOD,MEDIUM,17744,17,WATER,73241.61,2,121330.7,586391,1257261.7
CYCLONE,MEDIUM,3382,31,MEDICINE,48.15,6,291.0,964,1387.8
CYCLONE,MEDIUM,13355,7,BABY_SUPPLIES,97.61,3,376.6,366,441.9
CYCLONE,HIGH,8807,34,HYGIENE_KITS,118.89,3,335.9,4292,5053.4
FLOOD,HIGH,15300,25,BABY_SUPPLIES,97.29,10,809.2,1394,1576.1
EARTHQUAKE,HIGH,12024,11,CLOTHING,153.16,7,1063.6,816,854.3
DROUGHT,MEDIUM,5315,40,BLANKETS,119.66,25,2666.4,1320,1720.2
FIRE,MEDIUM,1040,27,BABY_SUPPLIES,5.73,9,37.6,100,110.6
FLOOD,CRITICAL,19330,23,CLOTHING,357.7,1,296.9,5398,8822.3
FLOOD,HIGH,18582,5,MEDICINE,256.76,1,232.2,1182,1197.1
EPIDEMIC,MEDIUM,11904,39,FOOD,8382.68,26,202899.7,85968,108959.0
FLOOD,MEDIUM,7200,40,FIRST_AID_KITS,39.79,19,722.0,790,1042.6
CYCLONE,LOW,6696,5,MEDICINE,72.75,3,181.7,173,186.8
EARTHQUAKE,CRITICAL,3153,6,FIRST_AID_KITS,27.52,3,101.3,48,100.5
EPIDEMIC,HIGH,12162,19,WATER,53724.56,4,192458.2,519508,781161.3
DROUGHT,MEDIUM,6121,45,MEDICINE,78.1,15,1402.0,2298,2326.9
FLOOD,LOW,9798,38,WATER,25709.45,8,224282.6,341002,834205.6
EARTHQUAKE,HIGH,16392,18,MEDICINE,220.76,15,3205.3,428,864.4
LANDSLIDE,CRITICAL,5402,10,MEDICINE,98.13,2,169.3,763,776.0
EARTHQUAKE,MEDIUM,3614,25,BABY_SUPPLIES,25.14,5,127.6,614,712.1
